City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,299.09,73,10,4.65,PF,1681514371
1,yellowknife,62.456,-114.3525,274.12,92,100,3.86,CA,1681514128
2,sao filipe,14.8961,-24.4956,297.03,78,29,2.42,CV,1681514371
3,ushuaia,-54.8,-68.3,277.96,65,20,7.72,AR,1681514371
4,suzaka,36.65,138.3167,287.09,90,100,1.84,JP,1681514372
5,nanortalik,60.1432,-45.2371,274.63,79,100,2.06,GL,1681514372
6,cidreira,-30.1811,-50.2056,292.68,71,100,4.56,BR,1681514372
7,arraial do cabo,-22.9661,-42.0278,297.83,88,80,1.26,BR,1681514373
8,saint george,37.1041,-113.5841,293.95,15,0,6.17,US,1681514373
9,mahajanga,-15.7167,46.3167,298.82,80,0,1.01,MG,1681514374
10,viedma,-40.8135,-62.9967,288.92,38,87,3.17,AR,1681514374
11,najran,17.4924,44.1277,293.51,50,58,0.47,SA,1681514374
12,kruisfontein,-34.0033,24.7314,285.86,68,6,4.6,ZA,1681514374
13,new norfolk,-42.7826,147.0587,288.66,77,88,0.45,AU,1681514375
14,saint-philippe,-21.3585,55.7679,297.92,76,72,2.74,RE,1681514375
15,bredasdorp,-34.5322,20.0403,285.57,65,35,1.31,ZA,1681514375
16,puerto ayora,-0.7393,-90.3518,301.23,87,72,1.34,EC,1681514376
17,dikson,73.5069,80.5464,253.13,97,83,5.37,RU,1681514376
18,tadine,-21.55,167.8833,296.62,91,100,6.75,NC,1681514376
19,pevek,69.7008,170.3133,258.76,79,53,5.75,RU,1681514377
20,longyearbyen,78.2186,15.6401,274.06,86,40,1.54,SJ,1681514377
21,saint-augustin,51.226,-58.6502,276.7,59,47,9.8,CA,1681514377
22,kaitangata,-46.2817,169.8464,287.02,64,4,2.9,NZ,1681514377
23,clyde river,70.4692,-68.5914,258.28,85,75,4.12,CA,1681514378
24,ribeira grande,38.5167,-28.7,290.8,90,99,8.94,PT,1681514378
25,poum,-20.2333,164.0167,298.0,82,100,3.4,NC,1681514379
26,bayevo,53.2833,80.7667,267.6,61,100,7.95,RU,1681514379
27,olafsvik,64.8945,-23.7142,277.74,80,10,2.4,IS,1681514380
28,bethel,41.3712,-73.414,301.2,37,0,4.12,US,1681514366
29,forbes,-33.3833,148.0167,291.4,55,83,4.76,AU,1681514381
30,butaritari,3.0707,172.7902,301.03,77,27,4.04,KI,1681514382
31,skibbereen,51.55,-9.2667,279.88,87,25,2.81,IE,1681514382
32,abha,18.2164,42.5053,287.29,58,0,0.0,SA,1681514383
33,hithadhoo,-0.6,73.0833,302.08,70,99,4.97,MV,1681514383
34,tabou,4.423,-7.3528,300.68,85,100,3.82,CI,1681514384
35,alyangula,-13.8483,136.4192,301.31,73,84,5.66,AU,1681514385
36,tautira,-17.7333,-149.15,299.84,63,39,1.15,PF,1681514385
37,port hardy,50.6996,-127.4199,282.81,58,100,4.9,CA,1681514131
38,port alfred,-33.5906,26.891,286.58,80,35,1.79,ZA,1681514386
39,punta arenas,-53.15,-70.9167,278.21,75,75,3.09,CL,1681514386
40,ponta do sol,32.6667,-17.1,290.5,75,1,3.0,PT,1681514387
